"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","P.E.I.","All",2001,"[30,35[",8786,8786,1,0
"CANSIM","P.E.I.","All",2001,"[35,40[",10687,10687,1,0
"CANSIM","P.E.I.","All",2001,"[40,45[",10896,10896,1,0
"CANSIM","P.E.I.","All",2001,"[45,50[",10215,10215,1,0
"CANSIM","P.E.I.","All",2001,"[50,55[",10016,10016,1,0
"CANSIM","P.E.I.","All",2001,"[55,60[",7325,7325,1,0
"CANSIM","P.E.I.","All",2001,"[60,65[",6024,6024,1,0
"CANSIM","P.E.I.","All",2001,"[65,70[",5368,5368,1,0
"CANSIM","P.E.I.","All",2001,"[70,75[",4381,4381,1,0
"CANSIM","P.E.I.","All",2001,"[75,80[",3735,3735,1,0
"CANSIM","P.E.I.","All",2001,"[80,85[",2689,2689,1,0
"CANSIM","P.E.I.","All",2001,"[85,90[",1603,1603,1,0
"CANSIM","P.E.I.","All",2001,"[90,95[",643,643,1,0
"CANSIM","P.E.I.","All",2001,"[95,100[",157,157,1,0
"CANSIM","P.E.I.","All",2001,"[100,max[",32,32,1,0
"CANSIM","P.E.I.","Male",2001,"All",66709,66709,1,0
"CANSIM","P.E.I.","Male",2001,"[0,5[",3892,3892,0,0
"CANSIM","P.E.I.","Male",2001,"[5,10[",4680,4680,0,0
"CANSIM","P.E.I.","Male",2001,"[10,15[",5045,5045,0,0
"CANSIM","P.E.I.","Male",2001,"[15,20[",5206,5206,0,0
"CANSIM","P.E.I.","Male",2001,"[20,25[",4496,4496,0,0
"CANSIM","P.E.I.","Male",2001,"[25,30[",3994,3994,0,0
"CANSIM","P.E.I.","Male",2001,"[30,35[",4328,4328,0,0
"CANSIM","P.E.I.","Male",2001,"[35,40[",5259,5259,0,0
"CANSIM","P.E.I.","Male",2001,"[40,45[",5294,5294,0,0
"CANSIM","P.E.I.","Male",2001,"[45,50[",5023,5023,0,0
"CANSIM","P.E.I.","Male",2001,"[50,55[",4942,4942,0,0
"CANSIM","P.E.I.","Male",2001,"[55,60[",3660,3660,0,0
"CANSIM","P.E.I.","Male",2001,"[60,65[",3012,3012,0,0
"CANSIM","P.E.I.","Male",2001,"[65,70[",2593,2593,0,0
"CANSIM","P.E.I.","Male",2001,"[70,75[",2017,2017,0,0
